genre,count
Drama,19
"Crime,Drama",14
"Action,Crime,Drama",5
"Biography,Drama,History",9
"Action,Adventure,Drama",5
"Adventure,Western",1
"Drama,Romance",6
"Action,Adventure,Sci-Fi",5
"Action,Adventure,Fantasy",5
"Action,Sci-Fi",3
"Biography,Crime,Drama",4
"Crime,Drama,Mystery",9
"Action,Drama",3
"Drama,Family,Fantasy",1
"Crime,Drama,Thriller",5
"Drama,War",8
"Adventure,Drama,Sci-Fi",1
"Comedy,Drama,Romance",4
"Crime,Drama,Fantasy",1
"Adventure,Comedy,Sci-Fi",1
"Animation,Adventure,Family",3
"Biography,Drama,Music",2
"Horror,Mystery,Thriller",1
"Drama,Thriller",4
"Animation,Adventure,Drama",1
"Drama,Mystery,Sci-Fi",1
"Drama,Music",1
"Drama,Romance,War",3
"Animation,Drama,War",1
"Action,Drama,Mystery",2
"Biography,Comedy,Drama",2
Western,2
"Mystery,Thriller",3
"Horror,Sci-Fi",1
"Drama,Mystery,War",1
"Drama,Western",2
"Action,Adventure",2
"Drama,Mystery,Thriller",4
"Drama,Film-Noir",1
"Drama,Horror",1
"Comedy,Drama,War",1
"Animation,Action,Adventure",5
"Comedy,War",1
"Adventure,Drama,War",3
"Animation,Adventure,Comedy",10
"Animation,Drama,Fantasy",1
"Comedy,Drama",4
"Comedy,Musical,Romance",1
"Drama,Romance,Sci-Fi",1
"Adventure,Sci-Fi",1
"Crime,Thriller",3
"Drama,Thriller,War",1
"Drama,Mystery",3
"Crime,Mystery,Thriller",1
"Adventure,Biography,Drama",3
"Action,Adventure,Mystery",1
"Mystery,Romance,Thriller",1
"Comedy,Romance",2
"Crime,Sci-Fi",1
"Crime,Drama,Film-Noir",1
"Comedy,Crime,Drama",2
"Drama,Sci-Fi",1
"Action,Thriller",1
"Comedy,Crime",2
"Drama,Family",2
"Action,Drama,War",2
"Action,Biography,Drama",3
"Comedy,Drama,Family",1
"Comedy,Music,Romance",1
"Biography,Comedy,Crime",1
"Drama,Fantasy,War",1
"Biography,Drama",2
"Action,Drama,Thriller",1
"Adventure,Drama,Western",2
"Adventure,Comedy,Fantasy",1
"Adventure,Drama,History",1
"Horror,Mystery,Sci-Fi",1
"Biography,Drama,Sport",1
"Action,Drama,Sci-Fi",3
"Action,Comedy,Crime",1
"Drama,Mystery,Romance",1
"Action,Drama,Sport",1
"Animation,Comedy,Family",1
"Drama,Family,Sport",1
"Adventure,Comedy,Drama",1
"Adventure,Family,Fantasy",2
"Adventure,Drama",2
"Adventure,Comedy,Crime",1
"Action,Adventure,Comedy",1
"Film-Noir,Mystery,Thriller",1
"Adventure,Drama,Thriller",1
"Action,Comedy,Romance",1
"Comedy,Drama,Thriller",1
"Drama,Fantasy",1
"Animation,Comedy,Drama",1
"Adventure,Thriller",1
"Comedy,Drama,Fantasy",1
Horror,1
"Comedy,Romance,War",1
"Biography,Drama,Family",2
"Drama,Film-Noir,Mystery",1
"Drama,Romance,Thriller",1
Comedy,1
"Drama,Sport",2
